League,Tier,Rate,Bigs (C/PF),Shooters (SG/SF),Slashers / D(Non-Shooters),Slashers/PGs,Rebounds,2P% Modifier,3P% Modifier,TO Modifier,CS,T High,T Low,Pace,Pace Factor,STL Modifier,BLK Modifier
Angola UNITEL,6,"0,70","0,75","0,70","0,70","0,75","0,75","0,85","0,90","1,15",Estimated,#N/A,#N/A,"74,00","1,01","0,90","0,90"
Argentina LNB,4,"1,09","1,10","1,15","1,15","1,10","1,05","1,05","1,00","1,00",Medium,#N/A,#N/A,"71,50","1,05","1,05","1,00"
Australia NBL,3,"1,24","1,40","1,35","1,40","1,30","1,05","1,15","1,05","0,85",Very Low,#N/A,#N/A,"82,00","0,91","0,90","0,95"
Austria 1 (BSL),5,"1,02","1,05","1,05","1,05","1,05","0,95","0,98","0,98","1,10",Very Low,#N/A,#N/A,"74,50","1,01","0,90","0,85"
Austria B2L,7,"0,55","0,40","0,50","0,45","0,55","0,60","0,70","0,65","1,30",Very Low,#N/A,#N/A,"78,00","0,96","0,75","0,65"
BAL (Africa),5,"0,98","1,00","1,00","1,00","1,00","0,75","1,10","1,00","1,10",Medium,#N/A,#N/A,"76,00","0,99","0,95","1,05"
BNXT (Belgian/Top),4,"1,13","1,10","1,20","1,10","1,10","1,00","1,15","1,25","1,00",Low,#N/A,#N/A,"76,00","0,99","0,95","1,00"
BNXT (Dutch Bottom),5,"1,02","0,90","1,00","0,95","0,95","0,95","1,15","1,25","1,10",Low,#N/A,#N/A,"79,00","0,95","0,90","0,85"
Bosnia (Prvenstvo BiH),5,"1,01","1,00","1,00","1,00","1,00","1,00","0,95","1,10","1,15",Medium,#N/A,#N/A,"72,00","1,04","0,95","0,95"
Brazil NBB,5,"1,04","1,10","1,00","1,00","1,00","1,15","1,05","1,00","1,00",Low,#N/A,#N/A,"76,00","0,99","0,95","1,00"
British Super League (SLB),5,"1,01","1,05","1,10","1,05","1,05","0,90","0,95","1,00","1,00",Medium,#N/A,#N/A,"79,00","0,95","0,85","0,85"
Bulgaria NBL,5,"0,99","1,05","1,00","1,00","1,00","0,90","0,95","1,00","1,20",Low,#N/A,#N/A,"76,00","0,99","0,90","0,85"
Canada BSL,6,"0,95","1,00","0,95","0,95","0,94","1,00","0,90","0,90","1,10",Very Low,#N/A,#N/A,"78,00","0,96","0,85","0,90"
